,LotArea,Street,LotShape,HouseStyle,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Foundation,CentralAir,Electrical,Functional,Fireplaces,YrSold,SaleType,SaleCondition,SalePrice
0,8450,Pave,Reg,2Story,2003,2003,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2008,WD,Normal,208500
1,9600,Pave,Reg,1Story,1976,1976,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2007,WD,Normal,181500
2,11250,Pave,IR1,2Story,2001,2002,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2008,WD,Normal,223500
3,9550,Pave,IR1,2Story,1915,1970,Gable,CompShg,BrkTil,Y,SBrkr,Typ,1,2006,WD,Abnorml,140000
4,14260,Pave,IR1,2Story,2000,2000,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2008,WD,Normal,250000
5,14115,Pave,IR1,1.5Fin,1993,1995,Gable,CompShg,Wood,Y,SBrkr,Typ,0,2009,WD,Normal,143000
6,10084,Pave,Reg,1Story,2004,2005,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2007,WD,Normal,307000
7,10382,Pave,IR1,2Story,1973,1973,Gable,CompShg,CBlock,Y,SBrkr,Typ,2,2009,WD,Normal,200000
8,6120,Pave,Reg,1.5Fin,1931,1950,Gable,CompShg,BrkTil,Y,FuseF,Min1,2,2008,WD,Abnorml,129900
9,7420,Pave,Reg,1.5Unf,1939,1950,Gable,CompShg,BrkTil,Y,SBrkr,Typ,2,2008,WD,Normal,118000
10,11200,Pave,Reg,1Story,1965,1965,Hip,CompShg,CBlock,Y,SBrkr,Typ,0,2008,WD,Normal,129500
11,11924,Pave,IR1,2Story,2005,2006,Hip,CompShg,PConc,Y,SBrkr,Typ,2,2006,New,Partial,345000
12,12968,Pave,IR2,1Story,1962,1962,Hip,CompShg,CBlock,Y,SBrkr,Typ,0,2008,WD,Normal,144000
13,10652,Pave,IR1,1Story,2006,2007,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2007,New,Partial,279500
14,10920,Pave,IR1,1Story,1960,1960,Hip,CompShg,CBlock,Y,SBrkr,Typ,1,2008,WD,Normal,157000
15,6120,Pave,Reg,1.5Unf,1929,2001,Gable,CompShg,BrkTil,Y,FuseA,Typ,0,2007,WD,Normal,132000
16,11241,Pave,IR1,1Story,1970,1970,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2010,WD,Normal,149000
17,10791,Pave,Reg,1Story,1967,1967,Gable,CompShg,Slab,Y,SBrkr,Typ,0,2006,WD,Normal,90000
18,13695,Pave,Reg,1Story,2004,2004,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2008,WD,Normal,159000
19,7560,Pave,Reg,1Story,1958,1965,Hip,CompShg,CBlock,Y,SBrkr,Min1,0,2009,COD,Abnorml,139000
20,14215,Pave,IR1,2Story,2005,2006,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2006,New,Partial,325300
21,7449,Pave,Reg,1.5Unf,1930,1950,Gable,CompShg,PConc,Y,FuseF,Typ,1,2007,WD,Normal,139400
22,9742,Pave,Reg,1Story,2002,2002,Hip,CompShg,PConc,Y,SBrkr,Typ,1,2008,WD,Normal,230000
23,4224,Pave,Reg,1Story,1976,1976,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2007,WD,Normal,129900
24,8246,Pave,IR1,1Story,1968,2001,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2010,WD,Normal,154000
25,14230,Pave,Reg,1Story,2007,2007,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2009,WD,Normal,256300
26,7200,Pave,Reg,1Story,1951,2000,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2010,WD,Normal,134800
27,11478,Pave,Reg,1Story,2007,2008,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2010,WD,Normal,306000
28,16321,Pave,IR1,1Story,1957,1997,Gable,CompShg,CBlock,Y,SBrkr,Typ,2,2006,WD,Normal,207500
29,6324,Pave,IR1,1Story,1927,1950,Gable,CompShg,BrkTil,N,SBrkr,Typ,0,2008,WD,Normal,68500
30,8500,Pave,Reg,2Story,1920,1950,Gambrel,CompShg,BrkTil,N,SBrkr,Typ,0,2008,WD,Normal,40000
31,8544,Pave,IR1,1Story,1966,2006,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2008,WD,Normal,149350
32,11049,Pave,Reg,1Story,2007,2007,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2008,WD,Normal,179900
33,10552,Pave,IR1,1Story,1959,1959,Hip,CompShg,CBlock,Y,SBrkr,Typ,1,2010,WD,Normal,165500
34,7313,Pave,Reg,1Story,2005,2005,Hip,CompShg,PConc,Y,SBrkr,Typ,1,2007,WD,Normal,277500
35,13418,Pave,Reg,2Story,2004,2005,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2006,WD,Normal,309000
36,10859,Pave,Reg,1Story,1994,1995,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2009,WD,Normal,145000
37,8532,Pave,Reg,1Story,1954,1990,Hip,CompShg,CBlock,Y,SBrkr,Typ,1,2009,WD,Normal,153000
38,7922,Pave,Reg,1Story,1953,2007,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2010,WD,Abnorml,109000
